Region,State,Crop,Season,Year,Area,Production_tons,Yield_tpha,Annual_Rainfall,Total_Rainfall,Fertilizer,Pesticide,Avg_Temp
North East India,Assam,Arecanut,Whole Year ,1997,73814.0,56708,0.796086957,2051.4,291.05,7024878.38,22882.34,24.254166666666663
North East India,Assam,Arhar/Tur,Kharif     ,1997,6637.0,4685,0.710434783,2051.4,291.05,631643.29,2057.47,24.254166666666663
North East India,Assam,Castor seed,Kharif     ,1997,796.0,22,0.238333333,2051.4,291.05,75755.32,246.76,24.254166666666663
North East India,Assam,Coconut ,Whole Year ,1997,19656.0,126905000,5238.051739,2051.4,291.05,1870661.52,6093.36,24.254166666666663
North East India,Assam,Cotton(lint),Kharif     ,1997,1739.0,794,0.420909091,2051.4,291.05,165500.63,539.09,24.254166666666663
North East India,Assam,Dry chillies,Whole Year ,1997,13587.0,9073,0.643636364,2051.4,291.05,1293074.79,4211.97,24.254166666666663
North East India,Assam,Gram,Rabi       ,1997,2979.0,1507,0.465454545,2051.4,291.05,283511.43,923.49,24.254166666666663
North East India,Assam,Jute,Kharif     ,1997,94520.0,904095,9.919565217,2051.4,291.05,8995468.4,29301.2,24.254166666666663
North East India,Assam,Linseed,Rabi       ,1997,10098.0,5158,0.461363636,2051.4,291.05,961026.66,3130.38,24.254166666666663
North East India,Assam,Maize,Kharif     ,1997,19216.0,14721,0.615652174,2051.4,291.05,1828786.72,5956.96,24.254166666666663
North East India,Assam,Mesta,Kharif     ,1997,5915.0,29003,4.568947368,2051.4,291.05,562930.55,1833.65,24.254166666666663
North East India,Assam,Niger seed,Whole Year ,1997,9914.0,5076,0.482352941,2051.4,291.05,943515.38,3073.34,24.254166666666663
North East India,Assam,Onion,Whole Year ,1997,7832.0,17943,2.342608696,2051.4,291.05,745371.44,2427.92,24.254166666666663
North East India,Assam,Other  Rabi pulses,Rabi       ,1997,108297.0,58272,0.520869565,2051.4,291.05,10306625.49,33572.07,24.254166666666663
